d1,d2,d3,d4,d5,a5
-0.08,-0.3775,-0.18625,-0.88625,-2.0190625,29.7890625
0.08,-0.3775,-0.18625,-0.88625,-2.0190625,29.7890625
-0.085,0.3775,-0.18625,-0.88625,-2.0190625,29.7890625
0.085,0.3775,-0.18625,-0.88625,-2.0190625,29.7890625
0.32,-0.08,0.18625,-0.88625,-2.0190625,29.7890625
-0.32,-0.08,0.18625,-0.88625,-2.0190625,29.7890625
0.19,0.08,0.18625,-0.88625,-2.0190625,29.7890625
-0.19,0.08,0.18625,-0.88625,-2.0190625,29.7890625
-0.09,-0.195,-1.10125,0.88625,-2.0190625,29.7890625
0.09,-0.195,-1.10125,0.88625,-2.0190625,29.7890625
-0.25,0.195,-1.10125,0.88625,-2.0190625,29.7890625
0.25,0.195,-1.10125,0.88625,-2.0190625,29.7890625
-0.83,-0.4675,1.10125,0.88625,-2.0190625,29.7890625
0.83,-0.4675,1.10125,0.88625,-2.0190625,29.7890625
-0.205,0.4675,1.10125,0.88625,-2.0190625,29.7890625
0.205,0.4675,1.10125,0.88625,-2.0190625,29.7890625
-0.395,-0.8725,-0.18125,-0.099375,2.0190625,29.7890625
0.395,-0.8725,-0.18125,-0.099375,2.0190625,29.7890625
-0.17,0.8725,-0.18125,-0.099375,2.0190625,29.7890625
0.17,0.8725,-0.18125,-0.099375,2.0190625,29.7890625
-0.115,0.615,0.18125,-0.099375,2.0190625,29.7890625
0.115,0.615,0.18125,-0.099375,2.0190625,29.7890625
0.025,-0.615,0.18125,-0.099375,2.0190625,29.7890625
-0.025,-0.615,0.18125,-0.099375,2.0190625,29.7890625
-0.64,0.5075,0.225,0.099375,2.0190625,29.7890625
0.64,0.5075,0.225,0.099375,2.0190625,29.7890625
0.475,-0.5075,0.225,0.099375,2.0190625,29.7890625
-0.475,-0.5075,0.225,0.099375,2.0190625,29.7890625
-0.69,-0.2825,-0.225,0.099375,2.0190625,29.7890625
0.69,-0.2825,-0.225,0.099375,2.0190625,29.7890625
-0.165,0.2825,-0.225,0.099375,2.0190625,29.7890625
0.165,0.2825,-0.225,0.099375,2.0190625,29.7890625
-0.355,-0.5625,-0.66375,0.36375,-1.3103125,34.8978125
0.355,-0.5625,-0.66375,0.36375,-1.3103125,34.8978125
-0.25,0.5625,-0.66375,0.36375,-1.3103125,34.8978125
0.25,0.5625,-0.66375,0.36375,-1.3103125,34.8978125
-0.14,-0.165,0.66375,0.36375,-1.3103125,34.8978125
0.14,-0.165,0.66375,0.36375,-1.3103125,34.8978125
-0.63,0.165,0.66375,0.36375,-1.3103125,34.8978125
0.63,0.165,0.66375,0.36375,-1.3103125,34.8978125
-0.19,-0.605,-0.13875,-0.36375,-1.3103125,34.8978125
0.19,-0.605,-0.13875,-0.36375,-1.3103125,34.8978125
-0.1,0.605,-0.13875,-0.36375,-1.3103125,34.8978125
0.1,0.605,-0.13875,-0.36375,-1.3103125,34.8978125
0.39,-0.2725,0.13875,-0.36375,-1.3103125,34.8978125
-0.39,-0.2725,0.13875,-0.36375,-1.3103125,34.8978125
-0.205,0.2725,0.13875,-0.36375,-1.3103125,34.8978125
0.205,0.2725,0.13875,-0.36375,-1.3103125,34.8978125
-0.395,-0.22,-0.86125,-0.601875,1.3103125,34.8978125
0.395,-0.22,-0.86125,-0.601875,1.3103125,34.8978125
-0.485,0.22,-0.86125,-0.601875,1.3103125,34.8978125
0.485,0.22,-0.86125,-0.601875,1.3103125,34.8978125
-0.28,-0.3875,0.86125,-0.601875,1.3103125,34.8978125
0.28,-0.3875,0.86125,-0.601875,1.3103125,34.8978125
-0.005,0.3875,0.86125,-0.601875,1.3103125,34.8978125
0.005,0.3875,0.86125,-0.601875,1.3103125,34.8978125
0.585,-0.155,-0.08,0.601875,1.3103125,34.8978125
-0.585,-0.155,-0.08,0.601875,1.3103125,34.8978125
0.095,0.155,-0.08,0.601875,1.3103125,34.8978125
-0.095,0.155,-0.08,0.601875,1.3103125,34.8978125
-0.845,-0.085,0.08,0.601875,1.3103125,34.8978125
0.845,-0.085,0.08,0.601875,1.3103125,34.8978125
0.075,0.085,0.08,0.601875,1.3103125,34.8978125
-0.075,0.085,0.08,0.601875,1.3103125,34.8978125
-0.545,-0.2925,-0.3725,2.6175,2.4696875,31.9028125
0.545,-0.2925,-0.3725,2.6175,2.4696875,31.9028125
-0.17,0.2925,-0.3725,2.6175,2.4696875,31.9028125
0.17,0.2925,-0.3725,2.6175,2.4696875,31.9028125
0.255,0.1625,0.3725,2.6175,2.4696875,31.9028125
-0.255,0.1625,0.3725,2.6175,2.4696875,31.9028125
-0.53,-0.1625,0.3725,2.6175,2.4696875,31.9028125
0.53,-0.1625,0.3725,2.6175,2.4696875,31.9028125
0.39,1.165,2.85,-2.6175,2.4696875,31.9028125
-0.39,1.165,2.85,-2.6175,2.4696875,31.9028125
1.49,-1.165,2.85,-2.6175,2.4696875,31.9028125
-1.49,-1.165,2.85,-2.6175,2.4696875,31.9028125
0.385,0.29,-2.85,-2.6175,2.4696875,31.9028125
-0.385,0.29,-2.85,-2.6175,2.4696875,31.9028125
-1.105,-0.29,-2.85,-2.6175,2.4696875,31.9028125
1.105,-0.29,-2.85,-2.6175,2.4696875,31.9028125
1.755,0.0625,0.37375,0.545625,-2.4696875,31.9028125
-1.755,0.0625,0.37375,0.545625,-2.4696875,31.9028125
0.08,-0.0625,0.37375,0.545625,-2.4696875,31.9028125
-0.08,-0.0625,0.37375,0.545625,-2.4696875,31.9028125
0.66,0.855,-0.37375,0.545625,-2.4696875,31.9028125
-0.66,0.855,-0.37375,0.545625,-2.4696875,31.9028125
0.2,-0.855,-0.37375,0.545625,-2.4696875,31.9028125
-0.2,-0.855,-0.37375,0.545625,-2.4696875,31.9028125
0.005,-0.225,-0.6275,-0.545625,-2.4696875,31.9028125
-0.005,-0.225,-0.6275,-0.545625,-2.4696875,31.9028125
0.335,0.225,-0.6275,-0.545625,-2.4696875,31.9028125
-0.335,0.225,-0.6275,-0.545625,-2.4696875,31.9028125
-0.335,-0.49,0.6275,-0.545625,-2.4696875,31.9028125
0.335,-0.49,0.6275,-0.545625,-2.4696875,31.9028125
-0.695,0.49,0.6275,-0.545625,-2.4696875,31.9028125
0.695,0.49,0.6275,-0.545625,-2.4696875,31.9028125
0.58,1.4425,1.67375,0.60375,-1.285,28.065
-0.58,1.4425,1.67375,0.60375,-1.285,28.065
0.565,-1.4425,1.67375,0.60375,-1.285,28.065
-0.565,-1.4425,1.67375,0.60375,-1.285,28.065
0.55,0.25,-1.67375,0.60375,-1.285,28.065
-0.55,0.25,-1.67375,0.60375,-1.285,28.065
-0.26,-0.25,-1.67375,0.60375,-1.285,28.065
0.26,-0.25,-1.67375,0.60375,-1.285,28.065
0.195,0.575,-0.91625,-0.60375,-1.285,28.065
-0.195,0.575,-0.91625,-0.60375,-1.285,28.065
-0.985,-0.575,-0.91625,-0.60375,-1.285,28.065
0.985,-0.575,-0.91625,-0.60375,-1.285,28.065
-0.39,-0.4725,0.91625,-0.60375,-1.285,28.065
0.39,-0.4725,0.91625,-0.60375,-1.285,28.065
0.175,0.4725,0.91625,-0.60375,-1.285,28.065
-0.175,0.4725,0.91625,-0.60375,-1.285,28.065
-0.35,0.0225,-0.11375,-0.30875,1.285,28.065
0.35,0.0225,-0.11375,-0.30875,1.285,28.065
-0.225,-0.0225,-0.11375,-0.30875,1.285,28.065
0.225,-0.0225,-0.11375,-0.30875,1.285,28.065
-0.14,-0.215,0.11375,-0.30875,1.285,28.065
0.14,-0.215,0.11375,-0.30875,1.285,28.065
0.09,0.215,0.11375,-0.30875,1.285,28.065
-0.09,0.215,0.11375,-0.30875,1.285,28.065
0.445,0.445,-0.43875,0.30875,1.285,28.065
-0.445,0.445,-0.43875,0.30875,1.285,28.065
-0.275,-0.445,-0.43875,0.30875,1.285,28.065
0.275,-0.445,-0.43875,0.30875,1.285,28.065
-0.29,-0.2475,0.43875,0.30875,1.285,28.065
0.29,-0.2475,0.43875,0.30875,1.285,28.065
0.335,0.2475,0.43875,0.30875,1.285,28.065
-0.335,0.2475,0.43875,0.30875,1.285,28.065
-0.275,-0.245,-0.0525,0.4875,0.0221875,30.8028125
0.275,-0.245,-0.0525,0.4875,0.0221875,30.8028125
-0.145,0.245,-0.0525,0.4875,0.0221875,30.8028125
0.145,0.245,-0.0525,0.4875,0.0221875,30.8028125
0.41,0.505,0.0525,0.4875,0.0221875,30.8028125
-0.41,0.505,0.0525,0.4875,0.0221875,30.8028125
-0.24,-0.505,0.0525,0.4875,0.0221875,30.8028125
0.24,-0.505,0.0525,0.4875,0.0221875,30.8028125
0.385,0.1575,0.2,-0.4875,0.0221875,30.8028125
-0.385,0.1575,0.2,-0.4875,0.0221875,30.8028125
-0.51,-0.1575,0.2,-0.4875,0.0221875,30.8028125
0.51,-0.1575,0.2,-0.4875,0.0221875,30.8028125
0.07,0.0625,-0.2,-0.4875,0.0221875,30.8028125
-0.07,0.0625,-0.2,-0.4875,0.0221875,30.8028125
1.125,-0.0625,-0.2,-0.4875,0.0221875,30.8028125
-1.125,-0.0625,-0.2,-0.4875,0.0221875,30.8028125
-0.41,-0.305,-0.265,-0.610625,-0.0221875,30.8028125
0.41,-0.305,-0.265,-0.610625,-0.0221875,30.8028125
0.11,0.305,-0.265,-0.610625,-0.0221875,30.8028125
-0.11,0.305,-0.265,-0.610625,-0.0221875,30.8028125
0.2,-0.115,0.265,-0.610625,-0.0221875,30.8028125
-0.2,-0.115,0.265,-0.610625,-0.0221875,30.8028125
-0.29,0.115,0.265,-0.610625,-0.0221875,30.8028125
0.29,0.115,0.265,-0.610625,-0.0221875,30.8028125
-0.175,-0.1525,-0.13375,0.610625,-0.0221875,30.8028125
0.175,-0.1525,-0.13375,0.610625,-0.0221875,30.8028125
-0.21,0.1525,-0.13375,0.610625,-0.0221875,30.8028125
0.21,0.1525,-0.13375,0.610625,-0.0221875,30.8028125
-0.185,-0.33,0.13375,0.610625,-0.0221875,30.8028125
0.185,-0.33,0.13375,0.610625,-0.0221875,30.8028125
0.185,0.33,0.13375,0.610625,-0.0221875,30.8028125
-0.185,0.33,0.13375,0.610625,-0.0221875,30.8028125
-0.255,-0.3325,-0.075,-0.888125,0.3096875,30.8509375
0.255,-0.3325,-0.075,-0.888125,0.3096875,30.8509375
0.06,0.3325,-0.075,-0.888125,0.3096875,30.8509375
-0.06,0.3325,-0.075,-0.888125,0.3096875,30.8509375
-0.09,-0.2375,0.075,-0.888125,0.3096875,30.8509375
0.09,-0.2375,0.075,-0.888125,0.3096875,30.8509375
0.065,0.2375,0.075,-0.888125,0.3096875,30.8509375
-0.065,0.2375,0.075,-0.888125,0.3096875,30.8509375
0.17,-0.0025,-0.07625,0.888125,0.3096875,30.8509375
-0.17,-0.0025,-0.07625,0.888125,0.3096875,30.8509375
0.265,0.0025,-0.07625,0.888125,0.3096875,30.8509375
-0.265,0.0025,-0.07625,0.888125,0.3096875,30.8509375
0.07,0.205,0.07625,0.888125,0.3096875,30.8509375
-0.07,0.205,0.07625,0.888125,0.3096875,30.8509375
0.05,-0.205,0.07625,0.888125,0.3096875,30.8509375
-0.05,-0.205,0.07625,0.888125,0.3096875,30.8509375
-0.2,0.0825,-0.3375,0.66375,-0.3096875,30.8509375
0.2,0.0825,-0.3375,0.66375,-0.3096875,30.8509375
0.055,-0.0825,-0.3375,0.66375,-0.3096875,30.8509375
-0.055,-0.0825,-0.3375,0.66375,-0.3096875,30.8509375
-0.37,-0.1525,0.3375,0.66375,-0.3096875,30.8509375
0.37,-0.1525,0.3375,0.66375,-0.3096875,30.8509375
